Algorithm,Assignment_Type,Message_Count,Success_Rate,Avg_Cost,Avg_Time,Success_RepRate,Success_TL
algo,2,135,0.03362962962962968,78.12,0.0755522346496582,0.028664381161206204,0.06011901124776269
algo,2,150,0.030599999999999957,78.72,0.08254818439483642,0.025937174819024075,0.05526965562126114
algo,2,165,0.028484848484848505,78.54,0.09023231029510498,0.024146279429431303,0.04957822007448664
algo,2,180,0.025833333333333285,78.12,0.09760220766067505,0.022347212648064368,0.04566206920042985
holistic_algo,0,15,0.20466666666666644,73.74,0.007733304500579834,0.2312987637411175,0.3572774886879459
holistic_algo,0,30,0.11933333333333318,75.6,0.015567617416381836,0.11911852366811848,0.1957022435994409
holistic_algo,0,45,0.08399999999999987,76.5,0.023673582077026366,0.0798706408321841,0.1394616765511604
holistic_algo,0,60,0.061666666666666564,78.12,0.03092402458190918,0.058435781754806355,0.10848126274108295
holistic_algo,0,75,0.05226666666666665,77.82,0.03915555477142334,0.048003602764463665,0.08920691252449914
holistic_algo,0,90,0.04399999999999991,76.86,0.050762510299682616,0.03952446591114936,0.07409129361044671
holistic_algo,0,105,0.03885714285714279,77.94,0.05265477418899536,0.03457330644137453,0.06722365593341034
holistic_algo,0,120,0.03591666666666659,78.24,0.06381489276885986,0.031181886831303143,0.05872040022334774
holistic_algo,0,135,0.028666666666666698,78.0,0.07347619771957398,0.02540339658016511,0.05260207977426111
holistic_algo,0,150,0.026866666666666636,78.06,13.52341191291809,0.02427643086494279,0.04739520629157555
holistic_algo,0,165,0.024787878787878807,78.48,0.04269940853118896,0.02199800259620305,0.043275885804078894
holistic_algo,0,180,0.02222222222222219,77.88,0.028775367736816406,0.019907156223013377,0.039715311517480555
holistic_algo,1,15,0.20466666666666644,73.74,0.002133278846740723,0.2312987637411175,0.3572774886879459
holistic_algo,1,30,0.11933333333333318,75.6,0.0062654829025268555,0.11911852366811848,0.1957022435994409
holistic_algo,1,45,0.08377777777777762,76.5,0.016124763488769532,0.0798706408321841,0.13947262958379616
holistic_algo,1,60,0.061499999999999895,78.06,0.01981981039047241,0.058340543659568256,0.10814370177996814
holistic_algo,1,75,0.05213333333333331,77.7,0.02724952459335327,0.0478432332731557,0.08912552563903631
holistic_algo,1,90,0.04399999999999991,76.92,0.03172433614730835,0.03952446591114936,0.07389460518593617
holistic_algo,1,105,0.0386666666666666,77.82,0.03548964500427246,0.034460312091092044,0.06708533679939796
holistic_algo,1,120,0.03591666666666659,78.24,0.03838555574417114,0.031181886831303143,0.05852240606912074
holistic_algo,1,135,0.028592592592592628,78.0,0.04583890438079834,0.02536066472024366,0.0524038627650846
holistic_algo,1,150,0.026799999999999966,78.0,0.059136807918548584,0.02423674832526025,0.04727800683896222
holistic_algo,1,165,0.024787878787878807,78.48,0.06177903652191162,0.02199800259620305,0.043186266361810464
holistic_algo,1,180,0.022277777777777744,77.88,0.06825367450714111,0.019939518682560303,0.039778692143114414
holistic_algo,2,15,0.19999999999999984,73.14,0.005496819019317627,0.21656706569847498,0.32941680898367565
holistic_algo,2,30,0.11933333333333314,74.04,0.012679805755615234,0.11397000859854853,0.18336510918570803
holistic_algo,2,45,0.07999999999999986,75.18,0.01961780309677124,0.0758179907517053,0.1300829739163778
holistic_algo,2,60,0.06316666666666658,77.82,0.024108846187591553,0.05864549219870916,0.10315476373589792
holistic_algo,2,75,0.05213333333333333,77.64,0.02767364263534546,0.047473944696371694,0.08546307676686694
holistic_algo,2,90,0.04277777777777768,77.34,0.035539515018463134,0.038426936026876246,0.07220263613114304
holistic_algo,2,105,0.03876190476190469,78.3,0.04034855365753174,0.034463412034950625,0.06487305915642916
holistic_algo,2,120,0.03616666666666661,78.54,0.04602323532104492,0.031304973807014226,0.05811229426855449
holistic_algo,2,135,0.03014814814814818,78.12,0.05283326864242554,0.026240080894589485,0.05186411798684321
holistic_algo,2,150,0.026999999999999965,78.9,0.05839616298675537,0.02429746166151714,0.04672667546204509
holistic_algo,2,165,0.024606060606060635,78.0,0.06338016510009765,0.02189416665599589,0.04267233577198103
holistic_algo,2,180,0.02366666666666663,79.08,0.06448079109191894,0.020734847189789223,0.039701216698045334
my_algo,0,15,0.7013333333333331,192.66,0.006011481285095215,0.8064852966568108,0.8064852966568108
my_algo,0,30,0.30866666666666676,208.38,0.007053382396697998,0.4656054490604099,0.4656054490604099
my_algo,0,45,0.19799999999999965,209.64,0.007643513679504395,0.3148682065263583,0.3148682065263583
my_algo,0,60,0.14933333333333335,210.24,0.009064576625823974,0.24211586101336366,0.24211586101336366
my_algo,0,75,0.1166666666666667,210.18,0.008255069255828857,0.19242320747322317,0.19242320747322317
my_algo,0,90,0.0998888888888887,212.82,0.01015228509902954,0.163976900169861,0.163976900169861
my_algo,0,105,0.08371428571428557,211.44,0.02084998607635498,0.13777760601764918,0.13777760601764918
my_algo,0,120,0.0725833333333333,211.2,0.033521232604980467,0.12268953414021883,0.12268953414021883
my_algo,0,135,0.06422222222222225,210.9,0.030119946002960207,0.10802150438299991,0.10802150438299991
my_algo,0,150,0.05873333333333341,212.52,0.034739487171173096,0.09890642178681083,0.09890642178681083
my_algo,0,165,0.05436363636363639,214.68,0.03408515453338623,0.09019388076344739,0.09019388076344739
my_algo,0,180,0.04883333333333324,213.24,0.039435861110687254,0.08244487730630584,0.08244487730630584
my_holistic_algo,0,15,0.4953333333333332,181.44,0.015655770301818847,0.6947122326227276,0.6947122326227276
my_holistic_algo,0,30,0.2483333333333333,213.9,0.015553224086761474,0.4513907291652477,0.4513907291652477
my_holistic_algo,0,45,0.1573333333333331,216.72,0.018267912864685057,0.3114511357829413,0.3114511357829413
my_holistic_algo,0,60,0.12100000000000001,214.62,0.02221930980682373,0.24015607974525882,0.24015607974525882
my_holistic_algo,0,75,0.09733333333333341,221.88,0.023056955337524415,0.19437288767855013,0.19437288767855013
my_holistic_algo,0,90,0.08011111111111095,217.5,0.02340985059738159,0.1612526502103695,0.1612526502103695
my_holistic_algo,0,105,0.07247619047619035,220.02,0.0278338623046875,0.14282257749500765,0.14282257749500765
my_holistic_algo,0,120,0.061249999999999985,219.54,0.026176321506500243,0.12235546410913897,0.12235546410913897
my_holistic_algo,0,135,0.05614814814814816,221.34,0.030397541522979736,0.1086890342348841,0.1086890342348841
my_holistic_algo,0,150,0.04993333333333335,219.48,0.030689525604248046,0.09767411521243254,0.09767411521243254
my_holistic_algo,0,165,0.04575757575757576,222.3,0.03198265314102173,0.09248848201336828,0.09248848201336828
my_holistic_algo,0,180,0.04227777777777767,220.2,0.034795703887939455,0.08261589935559252,0.08261589935559252
