Algorithm,Assignment_Type,Message_Count,Success_Rate,Avg_Cost,Avg_Time,Success_RepRate,Success_TL
algo,2,135,0.03362962962962968,81.96,0.044272875785827635,0.03555762400367071,0.07719029113666821
algo,2,150,0.03146666666666665,81.84,0.04917582511901855,0.033649399107591724,0.07022253606479406
holistic_algo,0,15,0.36,81.72,0.0039964628219604495,0.3320086813474493,0.45338839566752864
holistic_algo,0,30,0.21199999999999997,83.4,0.008243803977966308,0.16551577755154373,0.24997907677399595
holistic_algo,0,45,0.15777777777777788,84.36,0.011687169075012207,0.11409527570064036,0.1828253957647783
holistic_algo,0,60,0.1156666666666667,83.88,0.01698908805847168,0.08336557405898787,0.1387677458571282
holistic_algo,0,75,0.09600000000000002,84.0,0.020405335426330565,0.06834335826702306,0.11474424029899322
holistic_algo,0,90,0.08377777777777777,85.08,0.025267648696899413,0.056765971134735506,0.0964400749241054
holistic_algo,0,105,0.07161904761904755,84.96,0.028326554298400877,0.0491465707393651,0.08448377125954726
holistic_algo,0,120,0.06183333333333335,84.0,0.03383706569671631,0.04200720821359106,0.07406964543651062
holistic_algo,0,135,0.05777777777777777,84.96,0.03740931510925293,0.03857358606414344,0.06728277385761841
holistic_algo,0,150,0.053466666666666655,85.56,0.04281160831451416,0.03549295192836965,0.06103655432604494
holistic_algo,1,15,0.3586666666666667,81.84,0.003632807731628418,0.33149587031480243,0.4536302898446269
holistic_algo,1,30,0.21533333333333327,83.52,0.008219022750854493,0.1674650497031929,0.24908651710839957
holistic_algo,1,45,0.15688888888888897,84.12,0.012074222564697265,0.1137773175892021,0.1815748102414952
holistic_algo,1,60,0.1156666666666667,83.64,0.016467976570129394,0.0828788793811167,0.13799387205778038
holistic_algo,1,75,0.09546666666666664,84.0,0.020067358016967775,0.06815249545320244,0.11479915972027425
holistic_algo,1,90,0.08333333333333331,84.84,0.025170984268188475,0.05651868119330575,0.09595090613038947
holistic_algo,1,105,0.07180952380952375,84.96,0.02977600574493408,0.04920650663055434,0.08448015538144736
holistic_algo,1,120,0.06183333333333335,84.12,0.03272531986236572,0.04194664920578997,0.0739780687489581
holistic_algo,1,135,0.05733333333333333,84.72,0.03902690887451172,0.03836270306786055,0.06685434046257549
holistic_algo,1,150,0.053466666666666655,85.56,0.04148850440979004,0.03544525218409007,0.06076898957580065
holistic_algo,2,15,0.31600000000000017,81.0,0.003967032432556152,0.3204888440297887,0.43573006203908415
holistic_algo,2,30,0.20333333333333328,83.76,0.009129257202148437,0.166861372864141,0.2468064334388825
holistic_algo,2,45,0.14755555555555558,83.16,0.01585374355316162,0.11090753441389406,0.17466283545185365
holistic_algo,2,60,0.11766666666666666,84.6,0.018290185928344728,0.085830377449876,0.13771506849977602
holistic_algo,2,75,0.09706666666666669,85.32,0.02341651439666748,0.0693553012389372,0.11336755325775583
holistic_algo,2,90,0.07999999999999999,83.88,0.02891843318939209,0.05527038643569982,0.093416287059374
holistic_algo,2,105,0.0708571428571428,85.08,0.03486030578613281,0.04934411190703966,0.08205117188140067
holistic_algo,2,120,0.06216666666666667,85.32,0.04103473663330078,0.0432711264945993,0.07358254386178521
holistic_algo,2,135,0.0552592592592592,84.24,0.0478359317779541,0.03793607372075735,0.06576731777128773
holistic_algo,2,150,0.05,84.96,0.050053915977478027,0.03395822561012498,0.06015576575186353
my_algo,0,15,0.7373333333333335,198.24,0.0038211822509765627,0.8238269892244154,0.8238269892244154
my_algo,0,30,0.3780000000000001,218.52,0.004382357597351074,0.49565262828405143,0.49565262828405143
my_algo,0,45,0.24888888888888885,221.64,0.005485892295837402,0.34484940685765664,0.34484940685765664
my_algo,0,60,0.18633333333333346,224.76,0.00478947639465332,0.26211964272110877,0.26211964272110877
my_algo,0,75,0.15039999999999992,227.52,0.0051498603820800785,0.21480274813628136,0.21480274813628136
my_algo,0,90,0.12444444444444429,224.28,0.005499782562255859,0.17591123471855696,0.17591123471855696
my_algo,0,105,0.10742857142857137,227.16,0.006225109100341797,0.15293847473289118,0.15293847473289118
my_algo,0,120,0.09333333333333338,227.52,0.006217541694641113,0.13249061048655375,0.13249061048655375
my_algo,0,135,0.08192592592592593,223.8,0.007271451950073242,0.11669041450890337,0.11669041450890337
my_algo,0,150,0.07439999999999998,225.36,0.007830386161804198,0.10547467543335964,0.10547467543335964
my_holistic_algo,0,15,0.5293333333333333,191.64,0.010025501251220703,0.7193434567386917,0.7193434567386917
my_holistic_algo,0,30,0.35133333333333355,225.0,0.011240139007568359,0.4695364377139797,0.4695364377139797
my_holistic_algo,0,45,0.2760000000000001,232.44,0.01310615062713623,0.3409561659840346,0.3409561659840346
my_holistic_algo,0,60,0.23366666666666674,235.56,0.014464950561523438,0.2661273821341997,0.2661273821341997
my_holistic_algo,0,75,0.21573333333333333,239.28,0.016077942848205566,0.21924405263514854,0.21924405263514854
my_holistic_algo,0,90,0.206,237.96,0.017649765014648437,0.18793926748453985,0.18793926748453985
my_holistic_algo,0,105,0.19333333333333333,237.36,0.01843874454498291,0.1636545744451367,0.1636545744451367
my_holistic_algo,0,120,0.18966666666666668,238.2,0.019962973594665527,0.14582370567929037,0.14582370567929037
my_holistic_algo,0,135,0.1791111111111111,240.36,0.019939994812011717,0.12958478171066895,0.12958478171066895
my_holistic_algo,0,150,0.16946666666666665,242.64,0.021780571937561034,0.11839343478164821,0.11839343478164821
